,data,horário,camp.,rodada,dia,local,resultado,gp,gc,oponente,posse,público,capitão,formação,árbitro,relatório da partida,notas,tc,cag,dist,pb,pt,temporada,time
0,2021-01-11,20:00,Série A,Rodada da semana 29,seg,Visitante,E,2,2,Bragantino,56,,Réver,4-3-3,Caio Max Augusto Vieira,Relatório da Partida,,19,6,,1,1,2021,Atletico Mineiro
1,2021-01-17,18:15,Série A,Rodada da semana 30,dom,Em casa,V,3,1,Atl Goianiense,60,,Réver,4-3-3,Braulio da Silva Machado,Relatório da Partida,,22,6,,0,0,2021,Atletico Mineiro
2,2021-01-20,19:15,Série A,Rodada da semana 31,qua,Visitante,E,1,1,Grêmio,43,,Réver,4-3-3,Raphael Claus,Relatório da Partida,,11,5,,1,1,2021,Atletico Mineiro
3,2021-01-23,21:00,Série A,Rodada da semana 32,sáb,Visitante,D,2,3,Vasco da Gama,75,,Júnior Alonso,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,,17,4,,0,1,2021,Atletico Mineiro
4,2021-01-26,20:00,Série A,Rodada da semana 28,ter,Em casa,V,2,0,Santos,66,,Réver,4-2-3-1,Paulo Roberto Alves Júnior,Relatório da Partida,,10,5,,0,0,2021,Atletico Mineiro
5,2021-01-31,17:00,Série A,Rodada da semana 33,dom,Em casa,V,2,0,Fortaleza,72,,Réver,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,12,6,,0,1,2021,Atletico Mineiro
6,2021-02-03,21:30,Série A,Rodada da semana 34,qua,Visitante,D,0,1,Goiás,77,,Réver,3-5-2,Bruno Arleu de Araujo,Relatório da Partida,,19,2,,0,0,2021,Atletico Mineiro
7,2021-02-10,21:30,Série A,Rodada da semana 35,qua,Visitante,E,0,0,Fluminense,73,,Réver,3-4-3,Luiz Flávio de Oliveira,Relatório da Partida,,8,1,,0,0,2021,Atletico Mineiro
8,2021-02-13,19:00,Série A,Rodada da semana 36,sáb,Em casa,E,1,1,Bahia,72,,Réver,3-4-3,Raphael Claus,Relatório da Partida,,21,4,,0,0,2021,Atletico Mineiro
9,2021-02-21,16:00,Série A,Rodada da semana 37,dom,Visitante,V,3,2,Sport Recife,61,,Réver,4-3-3,Rodolpho Toski Marques,Relatório da Partida,,25,10,,0,0,2021,Atletico Mineiro
10,2021-02-25,21:30,Série A,Rodada da semana 38,qui,Em casa,V,2,0,Palmeiras,52,,Igor Rabello,4-4-2,Heber Roberto Lopes,Relatório da Partida,,19,8,,0,0,2021,Atletico Mineiro
17,2021-05-30,11:00,Série A,Rodada da semana 1,dom,Em casa,D,1,2,Fortaleza,54,,Júnior Alonso,4-2-3-1,Caio Max Augusto Vieira,Relatório da Partida,,13,4,,1,1,2021,Atletico Mineiro
18,2021-06-06,20:30,Série A,Rodada da semana 2,dom,Visitante,V,1,0,Sport Recife,51,,Réver,4-2-3-1,Raphael Claus,Relatório da Partida,,10,1,,0,0,2021,Atletico Mineiro
19,2021-06-13,16:00,Série A,Rodada da semana 3,dom,Em casa,V,1,0,São Paulo,42,,Réver,4-2-3-1,Anderson Daronco,Relatório da Partida,,9,2,,0,0,2021,Atletico Mineiro
20,2021-06-16,19:00,Série A,Rodada da semana 4,qua,Visitante,V,1,0,Internacional,43,,Réver,4-1-4-1,Luiz Flávio de Oliveira,Relatório da Partida,,6,2,,0,0,2021,Atletico Mineiro
21,2021-06-21,20:00,Série A,Rodada da semana 5,seg,Em casa,E,1,1,Chapecoense,67,,Réver,4-3-3,Rodolpho Toski Marques,Relatório da Partida,,14,2,,0,0,2021,Atletico Mineiro
22,2021-06-24,19:00,Série A,Rodada da semana 6,qui,Visitante,D,1,2,Ceará,67,,Keno,4-1-4-1,Leandro Pedro Vuaden,Relatório da Partida,,16,6,,0,0,2021,Atletico Mineiro
23,2021-06-27,20:30,Série A,Rodada da semana 7,dom,Visitante,D,0,2,Santos,50,,Réver,4-1-4-1,Bruno Arleu de Araujo,Relatório da Partida,,11,3,,0,0,2021,Atletico Mineiro
24,2021-07-01,19:00,Série A,Rodada da semana 8,qui,Em casa,V,4,1,Atl Goianiense,46,,Réver,4-3-3,Flavio Rodrigues De Souza,Relatório da Partida,,19,9,,0,0,2021,Atletico Mineiro
25,2021-07-04,17:15,Série A,Rodada da semana 9,dom,Visitante,V,1,0,Cuiabá,40,,Réver,4-2-3-1,Savio Pereira,Relatório da Partida,,4,1,,0,0,2021,Atletico Mineiro
26,2021-07-07,19:00,Série A,Rodada da semana 10,qua,Em casa,V,2,1,Flamengo,50,,Réver,3-1-4-2,Paulo Roberto Alves Júnior,Relatório da Partida,,12,6,,0,0,2021,Atletico Mineiro
27,2021-07-10,19:00,Série A,Rodada da semana 11,sáb,Visitante,V,1,0,América (MG),50,,Júnior Alonso,4-3-3,Anderson Daronco,Relatório da Partida,,13,5,,0,0,2021,Atletico Mineiro
29,2021-07-17,19:00,Série A,Rodada da semana 12,sáb,Visitante,V,2,1,Corinthians,62,,Júnior Alonso,4-2-3-1,Jean Pierre Goncalves Lima,Relatório da Partida,,13,8,,0,0,2021,Atletico Mineiro
31,2021-07-25,11:00,Série A,Rodada da semana 13,dom,Em casa,V,3,0,Bahia,60,,Júnior Alonso,4-2-3-1,Antonio Dib Moraes de Sousa,Relatório da Partida,,12,5,,1,1,2021,Atletico Mineiro
32,2021-08-01,16:00,Série A,Rodada da semana 14,dom,Em casa,V,2,0,Atl Paranaense,61,,Júnior Alonso,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,11,3,,1,1,2021,Atletico Mineiro
33,2021-08-08,16:00,Série A,Rodada da semana 15,dom,Visitante,V,2,1,Juventude,66,,Hulk,4-2-3-1,André Luiz de Freitas Castro,Relatório da Partida,,20,4,,0,0,2021,Atletico Mineiro
35,2021-08-14,19:00,Série A,Rodada da semana 16,sáb,Em casa,V,2,0,Palmeiras,67,,Hulk,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,,15,6,,0,0,2021,Atletico Mineiro
37,2021-08-23,20:00,Série A,Rodada da semana 17,seg,Visitante,E,1,1,Fluminense,66,,Júnior Alonso,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,,19,7,,0,0,2021,Atletico Mineiro
38,2021-08-29,20:30,Série A,Rodada da semana 18,dom,Visitante,E,1,1,Bragantino,66,,Júnior Alonso,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,26,8,,0,0,2021,Atletico Mineiro
39,2021-09-12,16:00,Série A,Rodada da semana 20,dom,Visitante,V,2,0,Fortaleza,51,,Júnior Alonso,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,11,4,,0,0,2021,Atletico Mineiro
40,2021-09-18,19:00,Série A,Rodada da semana 21,sáb,Em casa,V,3,0,Sport Recife,60,,Júnior Alonso,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,,22,9,,1,1,2021,Atletico Mineiro
42,2021-09-25,21:00,Série A,Rodada da semana 22,sáb,Visitante,E,0,0,São Paulo,51,,Réver,3-5-2,Wilton Sampaio,Relatório da Partida,,11,4,,0,0,2021,Atletico Mineiro
44,2021-10-02,21:00,Série A,Rodada da semana 23,sáb,Em casa,V,1,0,Internacional,56,,Júnior Alonso,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,,10,3,,0,0,2021,Atletico Mineiro
45,2021-10-06,19:00,Série A,Rodada da semana 24,qua,Visitante,E,2,2,Chapecoense,66,733.0,Hulk,4-2-3-1,André Luiz de Freitas Castro,Relatório da Partida,,16,5,,0,0,2021,Atletico Mineiro
46,2021-10-09,16:30,Série A,Rodada da semana 25,sáb,Em casa,V,3,1,Ceará,54,10.265,Réver,4-2-3-1,Jefferson Ferreira de Moraes,Relatório da Partida,,12,4,,1,1,2021,Atletico Mineiro
47,2021-10-13,19:00,Série A,Rodada da semana 26,qua,Em casa,V,3,1,Santos,60,16.514,Réver,4-2-3-1,Paulo Roberto Alves Júnior,Relatório da Partida,,14,6,,1,2,2021,Atletico Mineiro
48,2021-10-17,18:15,Série A,Rodada da semana 27,dom,Visitante,D,1,2,Atl Goianiense,64,2.963,Hulk,4-2-3-1,Raphael Claus,Relatório da Partida,,22,3,,0,0,2021,Atletico Mineiro
49,2021-10-24,16:00,Série A,Rodada da semana 28,dom,Em casa,V,2,1,Cuiabá,53,30.501,Júnior Alonso,4-2-3-1,Savio Pereira,Relatório da Partida,,21,9,,0,0,2021,Atletico Mineiro
50,2021-10-30,19:00,Série A,Rodada da semana 29,sáb,Visitante,D,0,1,Flamengo,63,20.0,Júnior Alonso,4-2-3-1,Anderson Daronco,Relatório da Partida,,16,2,,0,0,2021,Atletico Mineiro
51,2021-11-03,21:00,Série A,Rodada da semana 19,qua,Em casa,V,2,1,Grêmio,53,55.624,Réver,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,,15,4,,1,1,2021,Atletico Mineiro
52,2021-11-07,16:00,Série A,Rodada da semana 30,dom,Em casa,V,1,0,América (MG),56,60.142,Júnior Alonso,4-2-3-1,Wilton Sampaio,Relatório da Partida,,18,7,,0,0,2021,Atletico Mineiro
53,2021-11-10,19:00,Série A,Rodada da semana 31,qua,Em casa,V,3,0,Corinthians,47,58.714,Réver,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,11,5,,0,0,2021,Atletico Mineiro
54,2021-11-16,16:00,Série A,Rodada da semana 33,ter,Visitante,V,1,0,Atl Paranaense,56,6.233,Réver,4-2-2-2,Savio Pereira,Relatório da Partida,,9,2,,0,0,2021,Atletico Mineiro
55,2021-11-20,19:00,Série A,Rodada da semana 34,sáb,Em casa,V,2,0,Juventude,61,61.476,Réver,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,,18,5,,1,1,2021,Atletico Mineiro
56,2021-11-23,21:30,Série A,Rodada da semana 35,ter,Visitante,E,2,2,Palmeiras,57,17.744,Júnior Alonso,4-2-2-2,Anderson Daronco,Relatório da Partida,,15,5,,0,0,2021,Atletico Mineiro
57,2021-11-28,16:00,Série A,Rodada da semana 36,dom,Em casa,V,2,1,Fluminense,48,59.9,Júnior Alonso,4-2-2-2,Marielson Alves Silva,Relatório da Partida,,9,4,,1,1,2021,Atletico Mineiro
58,2021-12-02,18:00,Série A,Rodada da semana 32,qui,Visitante,V,3,2,Bahia,52,29.415,Júnior Alonso,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,,19,9,,1,1,2021,Atletico Mineiro
59,2021-12-05,16:00,Série A,Rodada da semana 37,dom,Em casa,V,4,3,Bragantino,61,61.573,Júnior Alonso,4-2-3-1,Rodolpho Toski Marques,Relatório da Partida,,13,6,,0,0,2021,Atletico Mineiro
60,2021-12-09,21:30,Série A,Rodada da semana 38,qui,Visitante,D,3,4,Grêmio,62,33.577,Nathan Silva,4-2-3-1,Raphael Claus,Relatório da Partida,,13,7,,0,0,2021,Atletico Mineiro
0,2021-01-06,21:30,Série A,Rodada da semana 28,qua,Em casa,D,1,2,Fluminense,72,,Everton Ribeiro,4-4-2,Leandro Pedro Vuaden,Relatório da Partida,,19,8,,0,0,2021,Flamengo
1,2021-01-10,16:00,Série A,Rodada da semana 29,dom,Em casa,D,0,2,Ceará,75,,Everton Ribeiro,4-4-2,Paulo Roberto Alves Júnior,Relatório da Partida,,21,6,,0,0,2021,Flamengo
2,2021-01-18,20:00,Série A,Rodada da semana 30,seg,Visitante,V,3,0,Goiás,59,,Diego,4-4-2,Rodolpho Toski Marques,Relatório da Partida,,12,6,,0,0,2021,Flamengo
3,2021-01-21,19:00,Série A,Rodada da semana 31,qui,Em casa,V,2,0,Palmeiras,51,,Diego,4-4-2,Savio Pereira,Relatório da Partida,,15,7,,0,0,2021,Flamengo
4,2021-01-24,16:00,Série A,Rodada da semana 32,dom,Visitante,D,1,2,Atl Paranaense,59,,Diego,4-4-2,Leandro Pedro Vuaden,Relatório da Partida,,12,2,,0,0,2021,Flamengo
5,2021-01-28,20:00,Série A,Rodada da semana 23,qui,Visitante,V,4,2,Grêmio,49,,Diego,4-2-3-1,Rodolpho Toski Marques,Relatório da Partida,,15,7,,0,0,2021,Flamengo
6,2021-02-01,20:00,Série A,Rodada da semana 33,seg,Visitante,V,3,0,Sport Recife,62,,Diego,4-4-2,Rafael Traci,Relatório da Partida,,22,9,,0,0,2021,Flamengo
7,2021-02-04,21:00,Série A,Rodada da semana 34,qui,Em casa,V,2,0,Vasco da Gama,60,,Diego,4-4-2,Raphael Claus,Relatório da Partida,,17,6,,1,1,2021,Flamengo
