,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,PB,PT,Temporada,Time
1,2022-04-09,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,2.0,3.0,Ceará,56.0,27.1,Gustavo Gómez,4-3-3,Caio Max Augusto Vieira,Relatório da Partida,,17.0,4.0,,1,1,2022,Palmeiras
3,2022-04-16,16:30,Série A,Rodada da semana 2,sáb,Visitante,E,1.0,1.0,Goiás,75.0,12.864,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,22.0,6.0,,0,0,2022,Palmeiras
4,2022-04-20,19:30,Série A,Rodada da semana 4,qua,Visitante,E,0.0,0.0,Flamengo,44.0,69.997,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,,10.0,2.0,,0,0,2022,Palmeiras
5,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Em casa,V,3.0,0.0,Corinthians,44.0,23.973,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,,20.0,7.0,,0,0,2022,Palmeiras
8,2022-05-08,16:00,Série A,Rodada da semana 5,dom,Em casa,E,1.0,1.0,Fluminense,48.0,28.776,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,,19.0,5.0,,0,0,2022,Palmeiras
9,2022-05-14,16:30,Série A,Rodada da semana 6,sáb,Em casa,V,2.0,0.0,Bragantino,48.0,36.123,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,,14.0,7.0,,1,1,2022,Palmeiras
11,2022-05-21,19:00,Série A,Rodada da semana 7,sáb,Visitante,V,3.0,0.0,Juventude,54.0,5.513,Marcos Rocha,4-3-3,Marcelo de Lima Henrique,Relatório da Partida,,19.0,7.0,,0,0,2022,Palmeiras
13,2022-05-29,16:00,Série A,Rodada da semana 8,dom,Visitante,V,1.0,0.0,Santos,56.0,14.22,Gustavo Gómez,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,,17.0,4.0,,0,1,2022,Palmeiras
14,2022-06-05,16:00,Série A,Rodada da semana 9,dom,Em casa,E,0.0,0.0,Atlético Mineiro,50.0,40.235,Marcos Rocha,4-2-3-1,Wilton Sampaio,Relatório da Partida,,16.0,3.0,,0,0,2022,Palmeiras
15,2022-06-09,19:00,Série A,Rodada da semana 10,qui,Em casa,V,4.0,0.0,Botafogo (RJ),48.0,33.431,Marcos Rocha,4-2-3-1,Anderson Daronco,Relatório da Partida,,14.0,6.0,,0,0,2022,Palmeiras
16,2022-06-12,18:00,Série A,Rodada da semana 11,dom,Visitante,V,2.0,0.0,Coritiba,53.0,27.356,Marcos Rocha,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,16.0,6.0,,0,0,2022,Palmeiras
17,2022-06-16,18:00,Série A,Rodada da semana 12,qui,Em casa,V,4.0,2.0,Atl Goianiense,49.0,38.888,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,28.0,12.0,,0,0,2022,Palmeiras
18,2022-06-20,20:00,Série A,Rodada da semana 13,seg,Visitante,V,2.0,1.0,São Paulo,61.0,31.055,Gustavo Gómez,4-3-1-2,Anderson Daronco,Relatório da Partida,,23.0,7.0,,0,0,2022,Palmeiras
